Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(kmpl),Engine(CC),Power(bhp),Car_Age(Years),Price(in Lakhs),Brand,Model
Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,5,26.6,998.0,58.16,15,1.75,Maruti,Wagon R
Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,5,19.67,1582.0,126.2,10,12.5,Hyundai,Creta 1.6
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,5,18.2,1199.0,88.7,14,4.5,Honda,Jazz V
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,7,20.77,1248.0,88.76,13,6.0,Maruti,Ertiga VDI
Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,5,15.2,1968.0,140.8,12,17.74,Audi,A4 New
Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,5,21.1,814.0,55.2,13,2.35,Hyundai,EON LPG
Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,5,23.08,1461.0,63.1,12,3.5,Nissan,Micra Diesel
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,8,11.36,2755.0,171.5,9,17.5,Toyota,Innova Crysta
Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,5,20.54,1598.0,103.6,12,5.2,Volkswagen,Vento Diesel
Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,5,22.3,1248.0,74.0,13,1.95,Tata,Indica Vista
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,5,21.56,1462.0,103.25,7,9.95,Maruti,Ciaz Zeta
Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,5,16.8,1497.0,116.3,13,4.49,Honda,City 1.5
Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,5,25.2,1248.0,74.0,10,5.6,Maruti,Swift VDI
Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,5,12.7,2179.0,187.7,11,27.0,Land,Rover Range
Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,5,0.0,2179.0,115.0,13,17.5,Land,Rover Freelander
Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,7,13.5,2477.0,175.56,11,15.0,Mitsubishi,Pajero Sport
Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,5,25.8,1498.0,98.6,9,5.4,Honda,Amaze S
Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,5,28.4,1248.0,74.0,8,5.99,Maruti,Swift DDiS
Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,5,20.45,1461.0,83.8,11,6.34,Renault,Duster 85PS
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,5,14.84,2143.0,167.62,11,28.0,Mercedes-Benz,New C-Class
BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,5,22.69,1995.0,190.0,11,18.55,BMW,3 Series
Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,5,23.65,1248.0,88.5,10,8.25,Maruti,S Cross
Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,5,13.53,1984.0,177.01,10,23.5,Audi,A6 2011-2015
Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,5,18.5,1197.0,80.0,15,1.87,Hyundai,i20 1.2
Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,5,14.4,1598.0,103.6,15,2.85,Volkswagen,Vento Petrol
